producto,seccion,cantidad,ingresos_totales,precio_promedio,n_transacciones,menu_mix_pct,clasificacion_menu
Pan dulce relleno con diseño,Panadería de autor,3262,9503083,2941,3035,12.769,Caballo de Trabajo
Korone pan,Panadería Japonesa,1559,3244314,2089,1495,6.103,Caballo de Trabajo
Tiramisu stevia x 20,Pastelería x mayor,76,3005740,40733,74,0.298,Interrogante
Latte,Café,748,2706920,3634,713,2.928,Caballo de Trabajo
Pan molde,Panadería artesanal,860,2524760,2948,851,3.366,Caballo de Trabajo
Cotton Cheesecake,Pastelería japonesa,849,2465080,2916,690,3.323,Caballo de Trabajo
Choco frappuccino,Frappé,615,2431580,4000,506,2.407,Caballo de Trabajo
Carrot cake,Pastelería tradicional,861,2402875,2800,750,3.37,Caballo de Trabajo
Matcha roll cake,Pastelería japonesa,699,2328769,3343,681,2.736,Caballo de Trabajo
Melonpan,Panadería Japonesa,1231,2274490,1878,1142,4.819,Caballo de Trabajo
Tiramisu,Pastelería tradicional,652,2079055,3198,638,2.552,Caballo de Trabajo
Caramel frappuccino,Frappé,522,2072040,4000,439,2.043,Caballo de Trabajo
Dorayakis,Pastelería japonesa,735,1989080,2709,715,2.877,Caballo de Trabajo
Oferta Melonpan,Ofertas,491,1702300,3467,469,1.922,Caballo de Trabajo
Focaccia,Panadería artesanal,404,1598384,3967,396,1.581,Caballo de Trabajo
Moca Latte,Café,399,1581250,4005,382,1.562,Caballo de Trabajo
Cappuccino,Café,519,1542540,3000,424,2.032,Caballo de Trabajo
Tokyo box 1,Ofertas,399,1516200,3800,393,1.562,Caballo de Trabajo
Matcha latte,Té - Infusiones,380,1423970,3751,363,1.488,Caballo de Trabajo
Chocolate Caliente,Café,440,1405070,3200,361,1.722,Caballo de Trabajo
Bubble Tea,Preparaciones frías con té,217,982340,4571,209,0.849,Estrella
Oferta pan dulce relleno con diseño,Ofertas,276,964188,3500,244,1.08,Caballo de Trabajo
Tokyo box 2,Ofertas,128,960000,7500,124,0.501,Estrella
Curry pan,Panadería Japonesa,177,794710,4610,172,0.693,Estrella
Chai Latte,Té - Infusiones,230,793850,3500,202,0.9,Caballo de Trabajo
Sausage pan,Panadería Japonesa,312,783590,2624,236,1.221,Caballo de Trabajo
Ciabatta,Panadería artesanal,522,782388,1500,344,2.043,Caballo de Trabajo
Oferta Chocolate caliente 2x1,Ofertas,236,754875,3200,226,0.924,Caballo de Trabajo
Oferta menú del día,Ofertas,93,753000,8118,66,0.364,Interrogante
Baguette,Panadería artesanal,747,745290,1000,398,2.924,Caballo de Trabajo
Té variedades,Té - Infusiones,227,721580,3192,220,0.889,Caballo de Trabajo
Iced latte,Preparaciones frías con café,180,718580,4013,168,0.705,Caballo de Trabajo
Frappé,Preparaciones frías con té,164,712200,4415,155,0.642,Estrella
Oferta korone pan,Ofertas,247,666800,2700,229,0.967,Caballo de Trabajo
Americano,Café,282,650640,2353,270,1.104,Caballo de Trabajo
TOKYO BOX,Sandwich,48,641900,13373,44,0.188,Interrogante
Neko tiramisú,Pastelería de autor,223,622160,2810,176,0.873,Caballo de Trabajo
Tokyo box,Ofertas,82,615000,7500,79,0.321,Interrogante
Mocaccino,Café,186,595060,3200,166,0.728,Caballo de Trabajo
Bruselina de canela y chocolate,Pastelería tradicional,183,513710,2815,165,0.716,Caballo de Trabajo
Marraqueta,Panadería artesanal,291,510779,1756,288,1.139,Caballo de Trabajo
Pan viennoise,Panadería de autor,235,457250,1988,233,0.92,Caballo de Trabajo
Tiramisú sin azúcar x 12,Pastelería x mayor,16,408130,25508,12,0.063,Interrogante
Galletas,Pastelería de autor,195,404000,2072,176,0.763,Caballo de Trabajo
Choco chips Melonpan,Panadería Japonesa,278,396100,1425,234,1.088,Caballo de Trabajo
Pan molde integral x mayor,Panadería x mayor,225,360000,1600,40,0.881,Caballo de Trabajo
Bebidas,Otros bebestibles,231,340240,1482,221,0.904,Caballo de Trabajo
Galletas con diseño,Galletas,314,309417,1000,194,1.229,Caballo de Trabajo
Melonpan de canela,Panadería Japonesa,186,264700,1423,171,0.728,Caballo de Trabajo
Flat White,Café,84,260400,3100,76,0.329,Perro
Ciabattas x mayor,Panadería x mayor,296,251600,850,36,1.159,Caballo de Trabajo
Pumpkin spice Frappuccino,Frappé,60,240000,4000,48,0.235,Perro
Eclairs,Pastelería tradicional,80,229500,2869,76,0.313,Perro
Empanadas de horno,Panadería de autor,88,228800,2600,23,0.344,Perro
Frappuccino oferta,Ofertas,37,222000,6000,35,0.145,Interrogante
Pajaritos,Panadería de autor,184,220800,1200,97,0.72,Caballo de Trabajo
Berlín de osito,Panadería de autor,98,213050,2269,98,0.384,Perro
Donas de osito,Panadería de autor,97,205600,2120,95,0.38,Perro
Agua mineral,Otros bebestibles,126,199799,1589,124,0.493,Caballo de Trabajo
Pan molde multigranos x mayor,Panadería x mayor,85,196900,2316,32,0.333,Perro
Brioche Bretón,Panadería de autor,64,192000,3000,61,0.251,Perro
Cinnamon roll,Panadería de autor,77,191020,2500,71,0.301,Perro
Pan navideño,Panadería de autor,38,190000,5000,30,0.149,Interrogante
