fecha,year,month,day_of_week,is_weekend,ingresos,transacciones,ticket_promedio,descuentos,propinas
2024-04-08,2024,4,Monday,False,84297,22,3831.681818181818,2050,2150
2024-04-09,2024,4,Tuesday,False,268680,34,7902.35294117647,120,1340
2024-04-10,2024,4,Wednesday,False,294176,38,7741.473684210527,0,850
2024-04-11,2024,4,Thursday,False,277109,37,7489.4324324324325,221,0
2024-04-12,2024,4,Friday,False,361409,57,6340.508771929824,1910,0
2024-04-13,2024,4,Saturday,True,421870,38,11101.842105263158,130,0
2024-04-15,2024,4,Monday,False,247237,25,9889.48,0,0
2024-04-16,2024,4,Tuesday,False,152030,24,6334.583333333333,0,0
2024-04-17,2024,4,Wednesday,False,280008,32,8750.25,531,0
2024-04-18,2024,4,Thursday,False,352018,38,9263.631578947368,0,3680
2024-04-19,2024,4,Friday,False,309297,33,9372.636363636364,0,0
2024-04-20,2024,4,Saturday,True,324331,33,9828.212121212122,100,2080
2024-04-22,2024,4,Monday,False,131400,24,5475.0,100,0
2024-04-23,2024,4,Tuesday,False,274315,30,9143.833333333334,200,3910
2024-04-24,2024,4,Wednesday,False,144100,20,7205.0,300,2610
2024-04-25,2024,4,Thursday,False,167772,29,5785.241379310345,0,6620
2024-04-26,2024,4,Friday,False,319535,34,9398.088235294117,0,700
2024-04-27,2024,4,Saturday,True,350235,28,12508.392857142857,1000,2385
2024-04-29,2024,4,Monday,False,117399,18,6522.166666666667,0,0
2024-04-30,2024,4,Tuesday,False,326460,31,10530.967741935483,0,0
2024-05-02,2024,5,Thursday,False,209525,33,6349.242424242424,0,2000
2024-05-03,2024,5,Friday,False,540424,29,18635.310344827587,150,710
2024-05-04,2024,5,Saturday,True,277536,34,8162.823529411765,0,0
2024-05-05,2024,5,Sunday,True,93228,2,46614.0,1,0
2024-05-06,2024,5,Monday,False,89300,20,4465.0,0,0
2024-05-07,2024,5,Tuesday,False,249838,29,8615.103448275862,0,0
2024-05-08,2024,5,Wednesday,False,193693,29,6679.068965517241,0,0
2024-05-09,2024,5,Thursday,False,247600,27,9170.37037037037,0,0
2024-05-10,2024,5,Friday,False,286770,39,7353.076923076923,1400,560
2024-05-11,2024,5,Saturday,True,366090,38,9633.947368421053,1,0
2024-05-13,2024,5,Monday,False,91688,16,5730.5,0,0
2024-05-14,2024,5,Tuesday,False,385370,33,11677.878787878788,0,0
2024-05-15,2024,5,Wednesday,False,182209,25,7288.36,0,0
2024-05-16,2024,5,Thursday,False,223790,34,6582.058823529412,0,3960
2024-05-17,2024,5,Friday,False,199954,29,6894.9655172413795,0,580
2024-05-18,2024,5,Saturday,True,274256,35,7835.885714285714,32,0
2024-05-20,2024,5,Monday,False,143600,19,7557.894736842105,0,0
2024-05-21,2024,5,Tuesday,False,580720,76,7641.0526315789475,42550,0
2024-05-22,2024,5,Wednesday,False,570891,59,9676.118644067798,0,0
2024-05-23,2024,5,Thursday,False,483321,81,5966.925925925926,0,0
2024-05-24,2024,5,Friday,False,408300,53,7703.773584905661,6000,0
2024-05-25,2024,5,Saturday,True,691092,86,8035.953488372093,6810,0
2024-05-27,2024,5,Monday,False,562527,74,7601.716216216216,150,0
2024-05-28,2024,5,Tuesday,False,350549,67,5232.074626865671,0,0
2024-05-29,2024,5,Wednesday,False,424771,65,6534.9384615384615,6000,0
2024-05-30,2024,5,Thursday,False,353958,79,4480.481012658228,0,0
